 

stn;time;breclod0
GOA;20210414;0
GOA;20210415;0
GOA;20210416;0
GOA;20210417;0
GOA;20210418;0
GOA;20210419;0
GOA;20210420;0
GOA;20210421;0
GOA;20210422;0
GOA;20210423;0
GOA;20210424;0
GOA;20210425;0
GOA;20210426;0
GOA;20210427;0
GOA;20210428;0
GOA;20210429;0
GOA;20210430;0
GOA;20210501;0
GOA;20210502;0
GOA;20210503;0
GOA;20210504;0
GOA;20210505;0
