 

stn;time;hto000y0
HAI;1964;2
HAI;1965;3
HAI;1966;1
HAI;1967;1
HAI;1968;2
HAI;1969;5
HAI;1970;4
HAI;1971;1
HAI;1972;1
HAI;1973;3
HAI;1974;1
HAI;1975;0
HAI;1976;2
HAI;1977;2
HAI;1978;3
HAI;1979;2
HAI;1980;2
HAI;1981;5
HAI;1982;1
HAI;1983;1
HAI;1984;3
HAI;1985;3
HAI;1986;3
HAI;1987;2
HAI;1988;1
HAI;1989;0
HAI;1990;1
HAI;1991;1
HAI;1992;0
HAI;1993;0
HAI;1994;0
HAI;1995;1
HAI;1996;3
HAI;1997;0
HAI;1998;1
HAI;1999;2
HAI;2000;0
HAI;2001;0
HAI;2002;0
HAI;2003;3
HAI;2004;2
HAI;2005;3
HAI;2006;2
HAI;2007;1
HAI;2008;1
HAI;2009;2
HAI;2010;3
HAI;2011;1
