 

stn;time;tnd00xy0
SIO;1954;15
SIO;1955;5
SIO;1956;22
SIO;1957;7
SIO;1958;5
SIO;1959;2
SIO;1960;8
SIO;1961;7
SIO;1962;13
SIO;1963;32
SIO;1964;15
SIO;1965;7
SIO;1966;13
SIO;1967;15
SIO;1968;13
SIO;1969;24
SIO;1970;12
SIO;1971;11
SIO;1972;3
SIO;1973;7
SIO;1974;2
SIO;1975;5
SIO;1976;7
SIO;1977;2
SIO;1978;4
SIO;1979;8
SIO;1980;15
SIO;1981;8
SIO;1982;2
SIO;1983;6
SIO;1984;4
SIO;1985;19
SIO;1986;9
SIO;1987;13
SIO;1988;2
SIO;1989;2
SIO;1990;5
SIO;1991;13
SIO;1992;5
SIO;1993;7
SIO;1994;0
SIO;1995;7
SIO;1996;8
SIO;1997;0
SIO;1998;1
SIO;1999;10
SIO;2000;2
SIO;2001;10
SIO;2002;1
SIO;2003;6
SIO;2004;3
SIO;2005;25
SIO;2006;5
SIO;2007;2
SIO;2008;4
SIO;2009;11
SIO;2010;17
SIO;2011;3
SIO;2012;18
SIO;2013;3
SIO;2014;2
SIO;2015;1
SIO;2016;1
SIO;2017;13
SIO;2018;1
SIO;2019;0
SIO;2020;0
