 

stn;time;rhh150yx
MAG;1981;26.5
MAG;1982;37.2
MAG;1983;51.1
MAG;1984;37.6
MAG;1985;34.8
MAG;1986;40.5
MAG;1987;36.3
MAG;1988;29.0
MAG;1989;22.4
MAG;1990;28.6
MAG;1991;26.3
MAG;1992;32.7
MAG;1993;23.9
MAG;1994;31.0
MAG;1995;36.6
MAG;1996;24.9
MAG;1997;49.3
MAG;1998;41.5
MAG;1999;32.0
MAG;2000;30.3
MAG;2001;43.2
MAG;2002;29.1
MAG;2003;36.5
MAG;2004;27.9
MAG;2005;22.3
MAG;2006;36.1
MAG;2007;28.7
MAG;2008;39.4
MAG;2009;53.2
MAG;2010;38.1
MAG;2011;22.5
MAG;2012;36.0
MAG;2013;28.2
MAG;2014;32.2
MAG;2015;23.4
MAG;2016;28.9
MAG;2017;32.6
MAG;2018;60.0
MAG;2019;37.1
MAG;2020;50.2
