 

stn;time;hns000y0
BEV;1931;296
BEV;1932;236
BEV;1933;317
BEV;1934;341
BEV;1935;524
BEV;1936;518
BEV;1937;397
BEV;1938;282
BEV;1939;289
BEV;1940;347
BEV;1941;251
BEV;1942;140
BEV;1943;241
BEV;1944;589
BEV;1945;512
BEV;1946;273
BEV;1947;366
BEV;1948;332
BEV;1949;354
BEV;1950;543
BEV;1951;613
BEV;1952;368
BEV;1953;68
BEV;1954;399
BEV;1955;274
BEV;1956;191
BEV;1957;227
BEV;1958;422
BEV;1959;307
BEV;1960;394
BEV;1961;286
BEV;1962;297
BEV;1963;242
BEV;1964;254
BEV;1965;310
BEV;1966;290
BEV;1967;345
BEV;1968;436
BEV;1969;252
BEV;1970;458
BEV;1971;320
BEV;1972;286
BEV;1973;263
BEV;1974;285
BEV;1975;451
BEV;1976;134
BEV;1977;337
BEV;1978;266
BEV;1979;454
BEV;1980;158
BEV;1981;287
BEV;1982;161
