 

stn;time;rzz150yx
WFJ;1981;18.2
WFJ;1982;5.0
WFJ;1983;5.1
WFJ;1984;3.7
WFJ;1985;4.2
WFJ;1986;3.8
WFJ;1987;4.0
WFJ;1988;5.6
WFJ;1989;9.9
WFJ;1990;6.7
WFJ;1991;7.7
WFJ;1992;8.0
WFJ;1993;4.9
WFJ;1994;11.0
WFJ;1995;10.3
WFJ;1996;4.3
WFJ;1997;5.5
WFJ;1998;8.2
WFJ;1999;5.6
WFJ;2000;6.1
WFJ;2001;8.4
WFJ;2002;7.8
WFJ;2003;9.6
WFJ;2004;4.0
WFJ;2005;9.1
WFJ;2006;11.1
WFJ;2007;10.6
WFJ;2008;5.3
WFJ;2009;4.3
WFJ;2010;11.0
WFJ;2011;3.7
WFJ;2012;8.2
WFJ;2013;2.6
WFJ;2014;8.2
WFJ;2015;25.0
WFJ;2016;6.5
WFJ;2017;10.4
