 

stn;time;rhh150mx
FLTRB;201310;10.4
FLTRB;201311;5.2
FLTRB;201312;1.9
FLTRB;201401;5.4
FLTRB;201402;2.8
FLTRB;201403;2.6
FLTRB;201404;3.9
FLTRB;201405;4.6
FLTRB;201406;10.6
FLTRB;201407;9.3
FLTRB;201408;11.3
FLTRB;201409;12.1
FLTRB;201410;6.0
FLTRB;201411;5.1
FLTRB;201412;2.4
FLTRB;201501;3.7
FLTRB;201502;1.7
FLTRB;201503;3.3
FLTRB;201504;4.4
FLTRB;201505;7.0
FLTRB;201506;17.7
FLTRB;201507;8.2
FLTRB;201508;44.7
FLTRB;201509;6.6
FLTRB;201510;9.8
FLTRB;201511;4.6
FLTRB;201512;1.8
FLTRB;201601;3.8
FLTRB;201602;2.4
FLTRB;201603;3.8
FLTRB;201604;8.6
FLTRB;201605;9.2
FLTRB;201606;9.6
FLTRB;201607;11.0
FLTRB;201608;15.5
FLTRB;201609;7.9
FLTRB;201610;8.3
FLTRB;201611;3.6
FLTRB;201612;1.1
FLTRB;201701;2.4
FLTRB;201702;2.7
FLTRB;201703;3.6
FLTRB;201704;9.2
FLTRB;201705;5.6
FLTRB;201706;9.5
FLTRB;201707;10.7
FLTRB;201708;15.5
FLTRB;201709;8.5
FLTRB;201710;12.3
FLTRB;201711;8.1
FLTRB;201712;6.8
FLTRB;201801;5.9
FLTRB;201802;2.6
FLTRB;201803;6.4
FLTRB;201804;6.0
FLTRB;201805;13.0
FLTRB;201806;16.8
FLTRB;201807;8.0
FLTRB;201808;34.9
FLTRB;201809;6.5
FLTRB;201810;9.2
FLTRB;201811;0.6
FLTRB;201812;9.7
FLTRB;201901;2.9
FLTRB;201902;3.6
FLTRB;201903;3.5
FLTRB;201904;5.4
FLTRB;201905;5.4
FLTRB;201906;5.1
FLTRB;201907;15.6
FLTRB;201908;13.9
FLTRB;201909;8.6
FLTRB;201910;4.5
FLTRB;201911;5.1
FLTRB;201912;5.1
FLTRB;202001;1.4
FLTRB;202002;3.7
FLTRB;202003;3.4
FLTRB;202004;5.3
FLTRB;202005;6.9
FLTRB;202006;11.9
FLTRB;202007;7.0
