 

stn;time;tre200y0
BER;1864;6.8
BER;1865;8.4
BER;1866;8.9
BER;1867;8.1
BER;1868;9.1
BER;1869;8.1
BER;1870;7.5
BER;1871;7.0
BER;1872;9.0
BER;1873;8.6
BER;1874;8.1
BER;1875;8.3
BER;1876;8.8
BER;1877;9.2
BER;1878;8.0
BER;1879;6.7
BER;1880;8.6
BER;1881;8.2
BER;1882;8.3
BER;1883;8.1
BER;1884;8.7
BER;1885;8.4
BER;1886;8.4
BER;1887;7.0
BER;1888;7.2
BER;1889;7.2
BER;1890;7.2
BER;1891;7.3
BER;1892;8.3
BER;1893;8.8
BER;1894;8.4
BER;1895;8.0
BER;1896;7.8
BER;1897;8.8
BER;1898;8.5
BER;1899;8.4
BER;1900;8.5
BER;1901;7.3
BER;1902;7.7
BER;1903;7.7
BER;1904;8.6
BER;1905;7.7
BER;1906;8.1
BER;1907;7.8
BER;1908;7.4
BER;1909;7.2
BER;1910;7.9
BER;1911;8.8
BER;1912;7.7
BER;1913;8.4
BER;1914;7.8
BER;1915;7.9
BER;1916;8.1
BER;1917;7.2
BER;1918;8.2
BER;1919;7.7
BER;1920;8.8
BER;1921;9.0
BER;1922;7.6
BER;1923;8.6
BER;1924;7.7
BER;1925;8.0
BER;1926;8.6
BER;1927;8.3
BER;1928;9.0
BER;1929;7.9
BER;1930;9.1
BER;1931;7.8
BER;1932;8.1
BER;1933;7.9
BER;1934;9.1
BER;1935;8.4
BER;1936;8.6
BER;1937;8.8
BER;1938;8.4
BER;1939;8.0
BER;1940;7.4
BER;1941;7.6
BER;1942;7.9
BER;1943;9.1
BER;1944;8.0
BER;1945;8.8
BER;1946;8.5
BER;1947;9.8
BER;1948;9.1
BER;1949;9.6
BER;1950;9.3
BER;1951;8.7
BER;1952;8.9
BER;1953;8.6
BER;1954;8.3
BER;1955;8.2
BER;1956;7.1
BER;1957;8.5
BER;1958;8.7
BER;1959;9.6
BER;1960;8.9
BER;1961;9.9
BER;1962;8.2
BER;1963;7.8
BER;1964;9.0
BER;1965;8.3
BER;1966;9.4
BER;1967;9.2
BER;1968;8.8
BER;1969;8.5
BER;1970;8.6
BER;1971;8.6
BER;1972;8.4
BER;1973;8.6
BER;1974;9.3
BER;1975;9.0
BER;1976;9.2
BER;1977;9.2
BER;1978;7.5
BER;1979;8.2
BER;1980;7.6
BER;1981;8.3
BER;1982;9.0
BER;1983;8.8
BER;1984;8.1
BER;1985;7.9
BER;1986;8.3
BER;1987;8.2
BER;1988;9.1
BER;1989;9.1
BER;1990;9.4
BER;1991;8.5
BER;1992;9.1
BER;1993;8.9
BER;1994;10.3
BER;1995;9.1
BER;1996;8.3
BER;1997;9.5
BER;1998;9.5
BER;1999;9.5
BER;2000;10.2
BER;2001;9.7
BER;2002;9.8
BER;2003;9.8
BER;2004;9.1
BER;2005;8.8
BER;2006;9.4
BER;2007;9.5
BER;2008;9.0
BER;2009;9.4
BER;2010;8.6
BER;2011;10.1
BER;2012;9.2
BER;2013;8.7
BER;2014;10.0
BER;2015;9.9
BER;2016;9.4
BER;2017;9.6
BER;2018;10.5
BER;2019;10.0
BER;2020;10.3
