 

stn;time;rzz150yx
NEU;1981;4.9
NEU;1982;12.7
NEU;1983;28.9
NEU;1984;5.7
NEU;1985;7.2
NEU;1986;9.5
NEU;1987;10.3
NEU;1988;15.7
NEU;1989;14.2
NEU;1990;6.7
NEU;1991;10.1
NEU;1992;6.9
NEU;1993;5.5
NEU;1994;10.1
NEU;1995;10.9
NEU;1996;20.3
NEU;1997;12.8
NEU;1998;7.0
NEU;1999;12.0
NEU;2000;9.1
NEU;2001;8.5
NEU;2002;12.5
NEU;2003;14.6
NEU;2004;18.8
NEU;2005;6.3
NEU;2006;6.0
NEU;2007;14.5
NEU;2008;8.1
NEU;2009;4.7
NEU;2010;4.4
NEU;2011;8.0
NEU;2012;15.4
NEU;2013;11.4
NEU;2014;11.0
NEU;2015;10.7
NEU;2016;4.6
NEU;2017;13.2
NEU;2018;10.5
NEU;2019;9.8
NEU;2020;7.3
