 

stn;time;rre150yx
LYN;1931;33.5
LYN;1932;53.5
LYN;1933;55.7
LYN;1934;58.5
LYN;1935;92.5
LYN;1936;62.2
LYN;1937;38.9
LYN;1938;63.2
LYN;1939;64.0
LYN;1940;48.6
LYN;1941;37.5
LYN;1942;36.8
LYN;1943;41.1
LYN;1944;58.0
LYN;1945;46.5
LYN;1946;61.0
LYN;1947;51.4
LYN;1948;46.3
LYN;1949;53.6
LYN;1950;80.2
LYN;1951;45.2
LYN;1952;36.5
LYN;1953;39.2
LYN;1954;60.0
LYN;1955;55.4
LYN;1956;47.1
LYN;1957;39.0
LYN;1958;51.5
LYN;1959;32.5
LYN;1960;56.2
LYN;1961;31.4
LYN;1962;46.0
LYN;1963;56.2
LYN;1964;54.9
LYN;1965;58.8
LYN;1966;48.2
LYN;1967;42.1
LYN;1968;54.6
LYN;1969;42.2
LYN;1970;45.3
LYN;1971;54.2
LYN;1972;42.4
LYN;1973;57.4
LYN;1974;49.7
LYN;1975;60.8
LYN;1976;39.0
