 

stn;time;rsd300y0
LAC;1883;4
LAC;1884;3
LAC;1885;7
LAC;1886;8
LAC;1887;4
LAC;1888;7
LAC;1889;7
LAC;1890;6
LAC;1891;7
LAC;1892;4
LAC;1893;5
LAC;1894;3
LAC;1895;5
LAC;1896;8
LAC;1897;12
LAC;1898;10
LAC;1899;5
LAC;1900;5
LAC;1901;8
LAC;1902;7
LAC;1903;4
LAC;1904;4
LAC;1905;7
LAC;1906;6
LAC;1907;6
LAC;1908;6
LAC;1909;3
LAC;1910;6
LAC;1911;2
LAC;1912;4
LAC;1913;6
LAC;1914;7
LAC;1915;3
LAC;1916;2
LAC;1917;2
LAC;1918;7
LAC;1919;8
LAC;1920;5
LAC;1921;3
LAC;1922;8
LAC;1923;5
LAC;1924;8
LAC;1925;4
LAC;1926;6
LAC;1927;11
LAC;1928;5
LAC;1929;1
LAC;1930;10
LAC;1931;9
LAC;1932;6
LAC;1933;7
LAC;1934;6
LAC;1935;6
LAC;1936;4
LAC;1937;7
LAC;1938;8
LAC;1939;7
LAC;1940;14
LAC;1941;6
LAC;1942;6
LAC;1943;4
LAC;1944;6
LAC;1945;5
LAC;1946;4
LAC;1947;4
LAC;1948;2
LAC;1949;3
LAC;1950;4
LAC;1951;5
LAC;1952;3
LAC;1953;6
LAC;1954;7
LAC;1955;6
LAC;1956;7
LAC;1957;8
LAC;1958;6
LAC;1959;6
LAC;1960;5
LAC;1961;2
LAC;1962;2
LAC;1963;3
LAC;1964;5
LAC;1965;7
LAC;1966;8
LAC;1967;4
LAC;1968;5
LAC;1969;2
LAC;1970;4
LAC;1971;7
LAC;1972;8
LAC;1973;9
LAC;1974;10
LAC;1975;14
LAC;1976;5
LAC;1977;9
LAC;1978;8
LAC;1979;7
LAC;1980;6
LAC;1981;11
LAC;1982;8
LAC;1983;7
LAC;1984;10
LAC;1985;8
LAC;1986;15
LAC;1987;6
LAC;1988;13
LAC;1989;8
LAC;1990;16
LAC;1991;6
LAC;1992;4
LAC;1993;11
LAC;1994;7
LAC;1995;11
LAC;1996;8
LAC;1997;4
LAC;1998;11
LAC;1999;8
LAC;2000;5
LAC;2001;7
LAC;2002;12
LAC;2003;7
LAC;2004;4
LAC;2005;8
LAC;2006;9
LAC;2007;8
LAC;2008;9
LAC;2009;7
LAC;2010;11
LAC;2011;8
LAC;2012;10
LAC;2013;7
LAC;2014;9
LAC;2015;5
LAC;2016;7
LAC;2017;9
LAC;2018;5
LAC;2019;7
LAC;2020;8
