Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95668

Filename                                Filetype  Station                              Parameter                                                   Period
order_95668_BAW_rhh150mx_1_data.txt     Data      Barmelweid                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_BAW_rhh150mx_1_legend.txt   Legend    Barmelweid                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSGDX_rhh150mx_1_data.txt   Data      Barrage Grande Dixence               Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSGDX_rhh150mx_1_legend.txt Legend    Barrage Grande Dixence               Precipitation; maximum total per hour of the month          202103-202105
order_95668_WSLBAF_rhh150mx_1_data.txt  Data      Beatenberg Freiland                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_WSLBAF_rhh150mx_1_legend.txt Legend    Beatenberg Freiland                  Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEY_rhh150mx_1_data.txt     Data      Bellelay                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEY_rhh150mx_1_legend.txt   Legend    Bellelay                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_LAT_rhh150mx_1_data.txt     Data      Bergün / Latsch                      Precipitation; maximum total per hour of the month          202103-202105
order_95668_LAT_rhh150mx_1_legend.txt   Legend    Bergün / Latsch                      Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEC_rhh150mx_1_data.txt     Data      Bernina / Curtinatsch                Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEC_rhh150mx_1_legend.txt   Legend    Bernina / Curtinatsch                Precipitation; maximum total per hour of the month          202103-202105
order_95668_NABBRM_rhh150mx_1_data.txt  Data      Beromünster                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_NABBRM_rhh150mx_1_legend.txt Legend    Beromünster                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_BIN_rhh150mx_1_data.txt     Data      Binn                                 Precipitation; maximum total per hour of the month          202103-202105
order_95668_BIN_rhh150mx_1_legend.txt   Legend    Binn                                 Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLBIR_rhh150mx_1_data.txt   Data      Birkendorf                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLBIR_rhh150mx_1_legend.txt Legend    Birkendorf                           Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMBIS_rhh150mx_1_data.txt   Data      Bisisthal                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMBIS_rhh150mx_1_legend.txt Legend    Bisisthal                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_BIV_rhh150mx_1_data.txt     Data      Bivio                                Precipitation; maximum total per hour of the month          202103-202105
order_95668_BIV_rhh150mx_1_legend.txt   Legend    Bivio                                Precipitation; maximum total per hour of the month          202103-202105
