 

stn;time;rti150yx
ERN;1967;19670904
ERN;1968;19681102
ERN;1969;19690505
ERN;1970;19701009
ERN;1971;19710320
ERN;1972;19720611
ERN;1973;19730620
ERN;1974;19740925
ERN;1975;19750930
ERN;1976;19761012
ERN;1977;19770430
ERN;1978;19780807
ERN;1979;19790315
ERN;1980;19801017
ERN;1981;19810331
ERN;1982;19820129
ERN;1983;19830521
ERN;1984;19840603
ERN;1985;19850513
ERN;1986;19860407
ERN;1987;19870824
ERN;1988;19881012
ERN;1989;19890404
ERN;1990;19901209
ERN;1991;19911221
ERN;1992;19920331
ERN;1993;19931002
ERN;1994;19941105
ERN;1995;19950421
ERN;1996;19960502
ERN;1997;19970629
ERN;1998;19980911
