 

stn;time;tnd00xy0
CIM;1983;48
CIM;1984;82
CIM;1985;81
CIM;1986;72
CIM;1987;61
CIM;1988;48
CIM;1989;13
CIM;1990;35
CIM;1991;48
CIM;1992;33
CIM;1993;44
CIM;1994;34
CIM;1995;52
CIM;1996;72
CIM;1997;31
CIM;1998;54
CIM;1999;56
CIM;2000;37
CIM;2001;52
CIM;2002;19
CIM;2003;52
CIM;2004;53
CIM;2005;66
CIM;2006;55
CIM;2007;24
CIM;2008;53
CIM;2009;60
CIM;2010;81
CIM;2011;37
