Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 93928

Filename                                Filetype  Station                              Parameter                                                   Period
order_93928_BEA_tre200d0_1_data.txt     Data      Beatenberg                           Air temperature 2 m above ground; daily mean                19690731-19801230
order_93928_BEA_tre200d0_1_legend.txt   Legend    Beatenberg                           Air temperature 2 m above ground; daily mean                19690731-19801230
order_93928_WSLBTB_tre200d0_1_data.txt  Data      Bettlachstock Bestand                Air temperature 2 m above ground; daily mean                20171231-20210413
order_93928_WSLBTB_tre200d0_1_legend.txt Legend    Bettlachstock Bestand                Air temperature 2 m above ground; daily mean                20171231-20210413
order_93928_WSLBTF_tre200d0_1_data.txt  Data      Bettlachstock Freiland               Air temperature 2 m above ground; daily mean                20171231-20190313
order_93928_WSLBTF_tre200d0_1_legend.txt Legend    Bettlachstock Freiland               Air temperature 2 m above ground; daily mean                20171231-20190313
order_93928_WSLBTF_tre200d0_2_data.txt  Data      Bettlachstock Freiland               Air temperature 2 m above ground; daily mean                20190519-20210414
order_93928_WSLBTF_tre200d0_2_legend.txt Legend    Bettlachstock Freiland               Air temperature 2 m above ground; daily mean                20190519-20210414
order_93928_BRA_tre200d0_1_data.txt     Data      Braggio                              Air temperature 2 m above ground; daily mean                19631231-19681030
order_93928_BRA_tre200d0_1_legend.txt   Legend    Braggio                              Air temperature 2 m above ground; daily mean                19631231-19681030
order_93928_FRE_tre200d0_1_data.txt     Data      Bullet / La Frétaz                   Air temperature 2 m above ground; daily mean                19771231-20210414
order_93928_FRE_tre200d0_1_legend.txt   Legend    Bullet / La Frétaz                   Air temperature 2 m above ground; daily mean                19771231-20210414
order_93928_TICVM_tre200d0_1_data.txt   Data      Campo Vallemaggia                    Air temperature 2 m above ground; daily mean                20190527-20201230
order_93928_TICVM_tre200d0_1_legend.txt Legend    Campo Vallemaggia                    Air temperature 2 m above ground; daily mean                20190527-20201230
order_93928_TICAR_tre200d0_1_data.txt   Data      Carena                               Air temperature 2 m above ground; daily mean                20110224-20210414
order_93928_TICAR_tre200d0_1_legend.txt Legend    Carena                               Air temperature 2 m above ground; daily mean                20110224-20210414
order_93928_MMCPY_tre200d0_1_data.txt   Data      Champéry                             Air temperature 2 m above ground; daily mean                20141126-20210414
order_93928_MMCPY_tre200d0_1_legend.txt Legend    Champéry                             Air temperature 2 m above ground; daily mean                20141126-20210414
order_93928_CHM_tre200d0_1_data.txt     Data      Chaumont                             Air temperature 2 m above ground; daily mean                18631231-20210414
order_93928_CHM_tre200d0_1_legend.txt   Legend    Chaumont                             Air temperature 2 m above ground; daily mean                18631231-20210414
order_93928_NABCHA_tre200d0_1_data.txt  Data      Chaumont / Bosset                    Air temperature 2 m above ground; daily mean                20110413-20150118
order_93928_NABCHA_tre200d0_1_legend.txt Legend    Chaumont / Bosset                    Air temperature 2 m above ground; daily mean                20110413-20150118
order_93928_VSGIE_tre200d0_1_data.txt   Data      Choëx / Les Giettes                  Air temperature 2 m above ground; daily mean                20181011-20210414
order_93928_VSGIE_tre200d0_1_legend.txt Legend    Choëx / Les Giettes                  Air temperature 2 m above ground; daily mean                20181011-20210414
order_93928_CHD_tre200d0_1_data.txt     Data      Château-d'Oex                        Air temperature 2 m above ground; daily mean                18781231-18870929
order_93928_CHD_tre200d0_1_legend.txt   Legend    Château-d'Oex                        Air temperature 2 m above ground; daily mean                18781231-18870929
order_93928_CHD_tre200d0_2_data.txt     Data      Château-d'Oex                        Air temperature 2 m above ground; daily mean                19041231-19071230
order_93928_CHD_tre200d0_2_legend.txt   Legend    Château-d'Oex                        Air temperature 2 m above ground; daily mean                19041231-19071230
order_93928_CHD_tre200d0_3_data.txt     Data      Château-d'Oex                        Air temperature 2 m above ground; daily mean                19090731-20210414
order_93928_CHD_tre200d0_3_legend.txt   Legend    Château-d'Oex                        Air temperature 2 m above ground; daily mean                19090731-20210414
order_93928_TICOL_tre200d0_1_data.txt   Data      Colla                                Air temperature 2 m above ground; daily mean                20110224-20210414
order_93928_TICOL_tre200d0_1_legend.txt Legend    Colla                                Air temperature 2 m above ground; daily mean                20110224-20210414
order_93928_DIS_tre200d0_1_data.txt     Data      Disentis                             Air temperature 2 m above ground; daily mean                19581231-20210414
order_93928_DIS_tre200d0_1_legend.txt   Legend    Disentis                             Air temperature 2 m above ground; daily mean                19581231-20210414
order_93928_EIN_tre200d0_1_data.txt     Data      Einsiedeln                           Air temperature 2 m above ground; daily mean                19301231-20210414
order_93928_EIN_tre200d0_1_legend.txt   Legend    Einsiedeln                           Air temperature 2 m above ground; daily mean                19301231-20210414
order_93928_ELM_tre200d0_1_data.txt     Data      Elm                                  Air temperature 2 m above ground; daily mean                18780131-18810909
order_93928_ELM_tre200d0_1_legend.txt   Legend    Elm                                  Air temperature 2 m above ground; daily mean                18780131-18810909
order_93928_ELM_tre200d0_2_data.txt     Data      Elm                                  Air temperature 2 m above ground; daily mean                18811130-20210414
order_93928_ELM_tre200d0_2_legend.txt   Legend    Elm                                  Air temperature 2 m above ground; daily mean                18811130-20210414
order_93928_ENG_tre200d0_1_data.txt     Data      Engelberg                            Air temperature 2 m above ground; daily mean                18631231-20210414
order_93928_ENG_tre200d0_1_legend.txt   Legend    Engelberg                            Air temperature 2 m above ground; daily mean                18631231-20210414
order_93928_MMERZ_tre200d0_1_data.txt   Data      Eriz                                 Air temperature 2 m above ground; daily mean                20121125-20210414
order_93928_MMERZ_tre200d0_1_legend.txt Legend    Eriz                                 Air temperature 2 m above ground; daily mean                20121125-20210414
order_93928_FES_tre200d0_1_data.txt     Data      Fescoggia                            Air temperature 2 m above ground; daily mean                19651231-19721230
order_93928_FES_tre200d0_1_legend.txt   Legend    Fescoggia                            Air temperature 2 m above ground; daily mean                19651231-19721230
order_93928_FLU_tre200d0_1_data.txt     Data      Flühli, LU                           Air temperature 2 m above ground; daily mean                20150319-20210414
order_93928_FLU_tre200d0_1_legend.txt   Legend    Flühli, LU                           Air temperature 2 m above ground; daily mean                20150319-20210414
order_93928_IYFRA_tre200d0_1_data.txt   Data      Franzensfeste / Grasstein            Air temperature 2 m above ground; daily mean                20090321-20210414
order_93928_IYFRA_tre200d0_1_legend.txt Legend    Franzensfeste / Grasstein            Air temperature 2 m above ground; daily mean                20090321-20210414
order_93928_MMFRS_tre200d0_1_data.txt   Data      Frasco                               Air temperature 2 m above ground; daily mean                20141223-20210414
order_93928_MMFRS_tre200d0_1_legend.txt Legend    Frasco                               Air temperature 2 m above ground; daily mean                20141223-20210414
order_93928_BEGAD_tre200d0_1_data.txt   Data      Gadmen                               Air temperature 2 m above ground; daily mean                20110208-20151202
order_93928_BEGAD_tre200d0_1_legend.txt Legend    Gadmen                               Air temperature 2 m above ground; daily mean                20110208-20151202
order_93928_BEGAD_tre200d0_2_data.txt   Data      Gadmen                               Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_BEGAD_tre200d0_2_legend.txt Legend    Gadmen                               Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_GWA_tre200d0_1_data.txt     Data      Grindelwald                          Air temperature 2 m above ground; daily mean                19651231-19891230
order_93928_GWA_tre200d0_1_legend.txt   Legend    Grindelwald                          Air temperature 2 m above ground; daily mean                19651231-19891230
order_93928_GST_tre200d0_1_data.txt     Data      Gstaad                               Air temperature 2 m above ground; daily mean                19810228-20101230
order_93928_GST_tre200d0_1_legend.txt   Legend    Gstaad                               Air temperature 2 m above ground; daily mean                19810228-20101230
order_93928_BERIF_tre200d0_1_data.txt   Data      Guggisberg / Riffenmatt              Air temperature 2 m above ground; daily mean                20100329-20100421
order_93928_BERIF_tre200d0_1_legend.txt Legend    Guggisberg / Riffenmatt              Air temperature 2 m above ground; daily mean                20100329-20100421
order_93928_BERIF_tre200d0_2_data.txt   Data      Guggisberg / Riffenmatt              Air temperature 2 m above ground; daily mean                20101030-20151202
order_93928_BERIF_tre200d0_2_legend.txt Legend    Guggisberg / Riffenmatt              Air temperature 2 m above ground; daily mean                20101030-20151202
order_93928_BERIF_tre200d0_3_data.txt   Data      Guggisberg / Riffenmatt              Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_BERIF_tre200d0_3_legend.txt Legend    Guggisberg / Riffenmatt              Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_GTT_tre200d0_1_data.txt     Data      Guttannen                            Air temperature 2 m above ground; daily mean                19581231-19961230
order_93928_GTT_tre200d0_1_legend.txt   Legend    Guttannen                            Air temperature 2 m above ground; daily mean                19581231-19961230
order_93928_MMGTT_tre200d0_1_data.txt   Data      Guttannen                            Air temperature 2 m above ground; daily mean                20141223-20210414
