Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94077

Filename                                Filetype  Station                              Parameter                                                   Period
order_94077_BRI_rhh150mx_4_legend.txt   Legend    Brig                                 Precipitation; maximum total per hour of the month          201510-201601
order_94077_BRI_rhh150mx_5_data.txt     Data      Brig                                 Precipitation; maximum total per hour of the month          201603-201711
order_94077_BRI_rhh150mx_5_legend.txt   Legend    Brig                                 Precipitation; maximum total per hour of the month          201603-201711
order_94077_BRI_rhh150mx_6_data.txt     Data      Brig                                 Precipitation; maximum total per hour of the month          201712-201810
order_94077_BRI_rhh150mx_6_legend.txt   Legend    Brig                                 Precipitation; maximum total per hour of the month          201712-201810
order_94077_BRI_rhh150mx_7_data.txt     Data      Brig                                 Precipitation; maximum total per hour of the month          201811-202103
order_94077_BRI_rhh150mx_7_legend.txt   Legend    Brig                                 Precipitation; maximum total per hour of the month          201811-202103
order_94077_COY_rhh150mx_1_data.txt     Data      Courtelary                           Precipitation; maximum total per hour of the month          201503-201708
order_94077_COY_rhh150mx_1_legend.txt   Legend    Courtelary                           Precipitation; maximum total per hour of the month          201503-201708
order_94077_COY_rhh150mx_2_data.txt     Data      Courtelary                           Precipitation; maximum total per hour of the month          201709-202103
order_94077_COY_rhh150mx_2_legend.txt   Legend    Courtelary                           Precipitation; maximum total per hour of the month          201709-202103
order_94077_DLDEG_rhh150mx_1_data.txt   Data      Deggenhausertal                      Precipitation; maximum total per hour of the month          200411-202004
order_94077_DLDEG_rhh150mx_1_legend.txt Legend    Deggenhausertal                      Precipitation; maximum total per hour of the month          200411-202004
order_94077_DLDEG_rhh150mx_2_data.txt   Data      Deggenhausertal                      Precipitation; maximum total per hour of the month          202005-202103
order_94077_DLDEG_rhh150mx_2_legend.txt Legend    Deggenhausertal                      Precipitation; maximum total per hour of the month          202005-202103
order_94077_EBK_rhh150mx_1_data.txt     Data      Ebnat-Kappel                         Precipitation; maximum total per hour of the month          201006-201304
order_94077_EBK_rhh150mx_1_legend.txt   Legend    Ebnat-Kappel                         Precipitation; maximum total per hour of the month          201006-201304
order_94077_EBK_rhh150mx_2_data.txt     Data      Ebnat-Kappel                         Precipitation; maximum total per hour of the month          201305-201306
order_94077_EBK_rhh150mx_2_legend.txt   Legend    Ebnat-Kappel                         Precipitation; maximum total per hour of the month          201305-201306
order_94077_EBK_rhh150mx_3_data.txt     Data      Ebnat-Kappel                         Precipitation; maximum total per hour of the month          201307-202103
order_94077_EBK_rhh150mx_3_legend.txt   Legend    Ebnat-Kappel                         Precipitation; maximum total per hour of the month          201307-202103
