 

stn;time;rs1000y0
WID;1961;0
WID;1962;0
WID;1963;0
WID;1964;0
WID;1965;0
WID;1966;0
WID;1967;0
WID;1968;0
WID;1969;0
WID;1970;0
WID;1971;0
WID;1972;0
WID;1973;0
WID;1974;0
WID;1975;0
WID;1976;0
WID;1977;0
WID;1978;0
WID;1979;0
WID;1980;0
WID;1981;0
WID;1982;0
WID;1983;0
WID;1984;0
WID;1985;0
WID;1986;0
WID;1987;0
WID;1988;0
WID;1989;0
WID;1990;0
WID;1991;0
WID;1992;0
WID;1993;0
WID;1994;0
WID;1995;0
WID;1996;0
WID;1997;0
WID;1998;0
WID;1999;0
WID;2000;0
WID;2001;0
WID;2002;0
WID;2003;0
WID;2004;0
WID;2005;0
WID;2006;0
WID;2007;0
WID;2008;0
WID;2009;0
WID;2010;0
WID;2011;0
WID;2012;0
WID;2013;0
WID;2014;0
WID;2015;0
