 

stn;time;rhs150m0
SBE;197808;271.7
SBE;197809;14.3
SBE;197810;62.1
SBE;197811;6.8
SBE;197812;123.5
SBE;197901;120.5
SBE;197902;53.0
SBE;197903;252.3
SBE;197904;105.0
SBE;197905;181.3
SBE;197906;97.5
SBE;197907;168.6
SBE;197908;195.4
SBE;197909;127.4
SBE;197910;417.0
SBE;197911;107.1
SBE;197912;113.8
SBE;198001;59.0
SBE;198002;19.8
SBE;198003;121.6
SBE;198004;9.0
SBE;198005;178.1
SBE;198006;229.0
SBE;198007;309.3
SBE;198008;52.2
SBE;198009;28.1
SBE;198010;310.9
SBE;198011;53.8
SBE;198012;17.5
SBE;198101;48.1
SBE;198102;8.3
SBE;198103;220.0
SBE;198104;95.0
SBE;198105;272.5
SBE;198106;127.0
SBE;198107;348.8
SBE;198108;55.8
SBE;198109;429.2
SBE;198110;185.0
SBE;198111;20.7
SBE;198112;273.4
SBE;198201;38.6
SBE;198202;23.5
SBE;198203;111.0
SBE;198204;7.6
SBE;198205;182.7
SBE;198206;192.1
SBE;198207;162.2
SBE;198208;260.6
SBE;198209;254.8
SBE;198210;175.0
SBE;198211;234.4
SBE;198212;123.5
SBE;198301;55.6
SBE;198302;22.9
SBE;198303;79.6
SBE;198304;296.3
SBE;198305;509.8
SBE;198306;72.6
SBE;198307;35.9
SBE;198308;162.7
SBE;198309;275.3
SBE;198310;58.7
SBE;198311;47.4
SBE;198312;146.2
SBE;198401;41.2
SBE;198402;80.8
SBE;198403;125.4
SBE;198404;126.1
SBE;198405;373.0
SBE;198406;119.1
SBE;198407;15.3
SBE;198408;120.9
SBE;198409;371.3
SBE;198410;236.2
SBE;198411;106.4
SBE;198412;98.2
SBE;198501;195.2
SBE;198502;14.3
SBE;198503;222.0
SBE;198504;144.6
SBE;198505;215.0
SBE;198506;146.8
SBE;198507;86.9
SBE;198508;244.0
SBE;198509;50.9
SBE;198510;8.4
SBE;198511;64.2
SBE;198512;94.0
SBE;198601;160.4
SBE;198602;38.7
SBE;198603;53.4
SBE;198604;635.7
SBE;198605;235.1
SBE;198606;64.9
SBE;198607;179.1
SBE;198608;250.8
SBE;198609;37.7
SBE;198610;27.8
SBE;198611;64.7
SBE;198612;36.9
SBE;198701;27.3
SBE;198702;108.1
SBE;198703;59.1
SBE;198704;105.5
SBE;198705;128.3
SBE;198706;418.4
SBE;198707;417.9
SBE;198708;176.4
SBE;198709;165.8
SBE;198710;282.6
SBE;198711;76.9
SBE;198712;21.7
SBE;198801;195.9
SBE;198802;105.5
SBE;198803;64.5
SBE;198804;74.2
SBE;198805;259.0
SBE;198806;109.7
SBE;198807;237.7
SBE;198808;239.2
SBE;198809;128.1
SBE;198810;290.4
SBE;198811;18.1
SBE;198812;47.3
SBE;198901;0.2
SBE;198902;107.8
SBE;198903;51.6
SBE;198904;336.3
SBE;198905;78.6
SBE;198906;131.1
SBE;198907;80.0
SBE;198908;82.1
SBE;198909;52.0
SBE;198910;16.4
SBE;198911;101.3
SBE;198912;198.7
SBE;199001;70.2
SBE;199002;144.4
SBE;199003;4.2
SBE;199004;112.0
SBE;199005;80.8
SBE;199006;268.3
SBE;199007;57.7
SBE;199008;84.7
SBE;199009;34.3
SBE;199010;185.7
SBE;199011;197.1
SBE;199012;72.4
SBE;199101;30.4
SBE;199102;36.0
SBE;199103;211.7
SBE;199104;68.1
SBE;199105;35.1
SBE;199106;224.3
SBE;199107;91.8
SBE;199108;7.4
SBE;199109;379.2
SBE;199110;110.5
SBE;199111;107.0
SBE;199112;92.5
SBE;199201;50.7
SBE;199202;22.7
SBE;199203;87.9
SBE;199204;119.6
SBE;199205;93.5
SBE;199206;187.1
SBE;199207;123.3
SBE;199208;209.0
SBE;199209;156.9
SBE;199210;149.8
SBE;199211;49.4
SBE;199212;97.1
SBE;199301;5.7
SBE;199302;23.4
SBE;199303;26.3
SBE;199304;84.2
SBE;199305;125.5
SBE;199306;165.4
SBE;199307;198.5
SBE;199308;157.8
SBE;199309;349.0
SBE;199310;501.1
SBE;199311;57.4
SBE;199312;69.5
SBE;199401;213.5
SBE;199402;96.1
SBE;199403;25.9
SBE;199404;80.1
SBE;199405;252.6
SBE;199406;99.8
SBE;199407;137.3
SBE;199408;181.9
SBE;199409;320.5
SBE;199410;83.2
SBE;199411;107.4
SBE;199412;32.4
SBE;199501;98.2
SBE;199502;70.4
SBE;199503;32.1
SBE;199504;183.7
SBE;199505;170.7
SBE;199506;108.1
SBE;199507;100.0
SBE;199508;119.7
SBE;199509;211.0
SBE;199510;30.6
SBE;199511;67.6
SBE;199512;73.1
SBE;199601;146.2
SBE;199602;32.9
SBE;199603;11.7
SBE;199604;64.7
SBE;199605;249.3
SBE;199606;86.4
SBE;199607;290.2
SBE;199608;223.1
SBE;199609;37.5
SBE;199610;111.4
SBE;199611;406.5
SBE;199612;71.6
SBE;199701;63.5
SBE;199702;16.2
SBE;199703;16.5
SBE;199704;58.7
SBE;199705;188.0
SBE;199706;383.0
SBE;199707;140.8
SBE;199708;137.3
SBE;199709;29.1
SBE;199710;54.5
SBE;199711;306.8
SBE;199712;148.6
SBE;199801;79.9
SBE;199802;17.9
SBE;199803;15.4
SBE;199804;394.6
SBE;199805;109.0
SBE;199806;160.2
SBE;199807;154.8
SBE;199808;107.4
SBE;199809;269.5
SBE;199810;180.1
SBE;199811;25.0
SBE;199812;17.4
SBE;199901;115.2
SBE;199902;57.4
SBE;199903;120.4
SBE;199904;197.4
SBE;199905;142.2
SBE;199906;285.9
SBE;199907;135.9
SBE;199908;319.9
SBE;199909;458.4
SBE;199910;279.8
SBE;199911;63.5
SBE;199912;109.0
SBE;200001;17.0
SBE;200002;28.1
SBE;200003;96.3
SBE;200004;278.6
SBE;200005;152.4
SBE;200006;104.0
SBE;200007;265.8
SBE;200008;133.9
SBE;200009;121.6
SBE;200010;384.7
SBE;200011;457.3
SBE;200012;137.8
SBE;200101;186.8
SBE;200102;123.2
SBE;200103;223.9
SBE;200104;96.1
SBE;200105;125.4
SBE;200106;275.7
SBE;200107;224.6
SBE;200108;209.1
SBE;200109;140.4
SBE;200110;115.0
SBE;200111;22.5
SBE;200112;3.3
SBE;200201;18.5
SBE;200202;65.1
SBE;200203;74.1
SBE;200204;54.4
SBE;200205;395.2
SBE;200206;162.2
SBE;200207;219.8
SBE;200208;192.9
SBE;200209;75.5
SBE;200210;130.3
SBE;200211;646.8
SBE;200212;43.7
SBE;200301;54.3
SBE;200302;19.3
SBE;200303;2.9
SBE;200304;97.4
SBE;200305;92.9
SBE;200306;56.9
SBE;200307;127.7
SBE;200308;140.8
SBE;200309;57.9
SBE;200310;167.1
SBE;200311;177.8
SBE;200312;95.1
SBE;200401;46.5
SBE;200402;49.5
SBE;200403;41.4
SBE;200404;112.4
SBE;200405;121.6
SBE;200406;55.1
SBE;200407;166.2
SBE;200408;237.4
SBE;200409;37.1
SBE;200410;275.4
SBE;200411;92.5
SBE;200412;61.8
SBE;200501;20.7
SBE;200502;7.8
SBE;200503;58.2
SBE;200504;109.0
SBE;200505;152.4
SBE;200506;97.9
SBE;200507;79.6
SBE;200508;101.6
SBE;200509;89.6
SBE;200510;63.2
SBE;200511;35.4
SBE;200512;55.0
SBE;200601;42.3
SBE;200602;78.9
SBE;200603;71.2
SBE;200604;76.4
SBE;200605;108.6
SBE;200606;55.1
SBE;200607;147.5
SBE;200608;179.2
SBE;200609;111.8
SBE;200610;220.0
SBE;200611;60.6
SBE;200612;145.3
SBE;200701;80.8
SBE;200702;31.4
SBE;200703;84.2
SBE;200704;18.0
SBE;200705;154.1
SBE;200706;272.0
SBE;200707;155.3
SBE;200708;210.4
SBE;200709;117.6
SBE;200710;12.3
SBE;200711;106.0
SBE;200712;22.5
SBE;200801;130.9
SBE;200802;31.8
SBE;200803;77.6
SBE;200804;203.9
SBE;200805;214.3
SBE;200806;128.7
SBE;200807;242.4
SBE;200808;167.0
SBE;200809;287.6
SBE;200810;270.7
SBE;200811;221.0
SBE;200812;128.8
SBE;200901;75.7
SBE;200902;120.3
SBE;200903;115.0
SBE;200904;167.7
SBE;200905;71.9
SBE;200906;215.3
SBE;200907;201.8
SBE;200908;97.6
SBE;200909;72.9
SBE;200910;65.1
SBE;200911;160.5
SBE;200912;158.1
SBE;201001;25.8
SBE;201002;61.3
SBE;201003;107.8
SBE;201004;66.6
SBE;201005;389.3
SBE;201006;158.7
SBE;201007;104.3
SBE;201008;240.8
SBE;201009;154.1
SBE;201010;119.9
SBE;201011;180.8
SBE;201012;99.8
SBE;201101;61.7
SBE;201102;30.3
SBE;201103;46.4
