 

stn;time;rhh150yx
DIS;1981;9.8
DIS;1982;12.8
DIS;1983;12.1
DIS;1984;9.6
DIS;1985;10.6
DIS;1986;9.8
DIS;1987;9.3
DIS;1988;11.0
DIS;1989;27.7
DIS;1990;6.6
DIS;1991;15.3
DIS;1992;14.3
DIS;1993;10.8
DIS;1994;22.8
DIS;1995;26.1
DIS;1996;15.4
DIS;1997;9.5
DIS;1998;12.5
DIS;1999;13.6
DIS;2000;13.2
DIS;2001;14.7
DIS;2002;11.1
DIS;2003;14.3
DIS;2004;8.5
DIS;2005;22.9
DIS;2006;7.6
DIS;2007;15.8
DIS;2008;12.8
DIS;2009;12.6
DIS;2010;9.8
DIS;2011;22.7
DIS;2012;13.7
DIS;2013;13.5
DIS;2014;10.7
DIS;2015;25.7
DIS;2016;14.7
