 

stn;time;breclod0
SIE;20210414;0
SIE;20210415;0
SIE;20210416;0
SIE;20210417;0
SIE;20210418;0
SIE;20210419;0
SIE;20210420;0
SIE;20210421;0
SIE;20210422;0
SIE;20210423;0
SIE;20210424;0
SIE;20210425;0
SIE;20210426;0
SIE;20210427;0
SIE;20210428;0
SIE;20210429;0
SIE;20210430;0
SIE;20210501;0
SIE;20210502;0
SIE;20210503;0
SIE;20210504;0
SIE;20210505;0
