 

stn;time;hns000y0
ION;1931;127
ION;1932;52
ION;1933;38
ION;1934;33
ION;1935;171
ION;1936;17
ION;1937;52
ION;1938;80
ION;1939;63
ION;1940;97
ION;1941;97
ION;1942;102
ION;1943;114
ION;1944;210
ION;1945;84
ION;1946;55
ION;1947;59
ION;1948;22
ION;1949;21
ION;1950;60
ION;1951;41
ION;1952;167
ION;1953;60
ION;1954;85
ION;1955;92
ION;1956;50
ION;1957;60
ION;1958;50
ION;1959;53
ION;1960;38
ION;1961;19
ION;1962;87
ION;1963;30
ION;1964;36
ION;1965;171
ION;1966;63
ION;1967;27
ION;1968;181
ION;1969;74
ION;1970;113
ION;1971;62
ION;1972;28
ION;1973;81
ION;1974;77
ION;1975;5
ION;1976;125
ION;1977;43
