 

stn;time;tnd00xy0
BER;1872;3
BER;1873;26
BER;1874;28
BER;1875;42
BER;1876;26
BER;1877;8
BER;1878;35
BER;1879;48
BER;1880;22
BER;1881;29
BER;1882;29
BER;1883;21
BER;1884;13
BER;1885;36
BER;1886;34
BER;1887;49
BER;1888;42
BER;1889;60
BER;1890;64
BER;1891;40
BER;1892;38
BER;1893;40
BER;1894;27
BER;1895;57
BER;1896;30
BER;1897;28
BER;1898;15
BER;1899;28
BER;1900;16
BER;1901;33
BER;1902;23
BER;1903;28
BER;1904;30
BER;1905;25
BER;1906;30
BER;1907;20
BER;1908;32
BER;1909;33
BER;1910;10
BER;1911;27
BER;1912;19
BER;1913;11
BER;1914;25
BER;1915;19
BER;1916;5
BER;1917;50
BER;1918;17
BER;1919;22
BER;1920;15
BER;1921;27
BER;1922;27
BER;1923;16
BER;1924;39
BER;1925;20
BER;1926;16
BER;1927;20
BER;1928;9
BER;1929;51
BER;1930;10
BER;1931;26
BER;1932;19
BER;1933;39
BER;1934;16
BER;1935;29
BER;1936;12
BER;1937;10
BER;1938;21
BER;1939;24
BER;1940;46
BER;1941;28
BER;1942;46
BER;1943;11
BER;1944;31
BER;1945;31
BER;1946;28
BER;1947;31
BER;1948;17
BER;1949;13
BER;1950;28
BER;1951;5
BER;1952;29
BER;1953;28
BER;1954;24
BER;1955;15
BER;1956;38
BER;1957;19
BER;1958;18
BER;1959;14
BER;1960;21
BER;1961;16
BER;1962;27
BER;1963;52
BER;1964;33
BER;1965;17
BER;1966;15
BER;1967;22
BER;1968;24
BER;1969;38
BER;1970;25
BER;1971;27
BER;1972;25
BER;1973;22
BER;1974;2
BER;1975;15
BER;1976;29
BER;1977;13
BER;1978;26
BER;1979;16
BER;1980;30
BER;1981;23
BER;1982;9
BER;1983;17
BER;1984;13
BER;1985;39
BER;1986;30
BER;1987;29
BER;1988;6
BER;1989;18
BER;1990;15
BER;1991;32
BER;1992;18
BER;1993;21
BER;1994;7
BER;1995;22
BER;1996;28
BER;1997;15
BER;1998;21
BER;1999;19
BER;2000;5
BER;2001;11
BER;2002;13
BER;2003;24
BER;2004;11
BER;2005;34
BER;2006;24
BER;2007;20
BER;2008;10
BER;2009;27
BER;2010;38
BER;2011;11
BER;2012;20
BER;2013;24
BER;2014;2
BER;2015;9
BER;2016;7
BER;2017;19
BER;2018;13
BER;2019;6
BER;2020;3
