 

stn;time;rti150yx
VOT;1961;19610712
VOT;1962;19620703
VOT;1963;19631007
VOT;1964;19640829
VOT;1965;19650610
VOT;1966;19660506
VOT;1967;19670708
VOT;1968;19680606
VOT;1969;19690815
VOT;1970;19700809
VOT;1971;19710811
VOT;1972;19721113
VOT;1973;19730623
VOT;1974;19740724
VOT;1975;19750823
VOT;1976;19760726
VOT;1977;19770731
VOT;1978;19780807
VOT;1979;19790606
VOT;1980;19800531
VOT;1981;19810718
