 

stn;time;hto000y0
GRH;1964;42
GRH;1965;155
GRH;1966;170
GRH;1967;126
GRH;1968;128
GRH;1969;95
GRH;1970;210
GRH;1971;60
GRH;1972;66
GRH;1973;98
GRH;1974;136
GRH;1975;219
GRH;1976;74
GRH;1977;129
GRH;1978;135
GRH;1979;109
GRH;1980;181
GRH;1981;141
GRH;1982;172
GRH;1983;116
GRH;1984;109
GRH;1985;104
GRH;1986;121
GRH;1987;126
GRH;1988;111
GRH;1989;75
GRH;1990;69
GRH;1991;110
GRH;1992;128
GRH;1993;77
GRH;1994;88
GRH;1995;142
GRH;1996;68
GRH;1997;80
GRH;1998;76
GRH;1999;163
GRH;2000;145
GRH;2001;101
GRH;2002;95
GRH;2003;123
GRH;2004;129
GRH;2005;85
GRH;2006;91
GRH;2007;60
GRH;2008;103
GRH;2009;117
GRH;2010;80
GRH;2011;54
