 

stn;time;rzz150yx
FAH;1982;8.3
FAH;1983;5.2
FAH;1984;5.4
FAH;1985;17.4
FAH;1986;14.5
FAH;1987;9.9
FAH;1988;11.5
FAH;1989;13.7
FAH;1990;7.8
FAH;1991;8.3
FAH;1992;7.3
FAH;1993;7.8
FAH;1994;11.1
FAH;1995;7.9
FAH;1996;8.0
FAH;1997;8.5
FAH;1998;8.1
FAH;1999;10.4
FAH;2000;10.4
FAH;2001;8.2
FAH;2002;7.2
FAH;2003;10.8
FAH;2004;12.3
FAH;2005;19.2
FAH;2006;13.8
FAH;2007;14.0
FAH;2008;9.8
FAH;2009;9.6
FAH;2010;10.3
FAH;2011;10.9
FAH;2012;13.3
FAH;2013;13.1
FAH;2014;11.2
FAH;2015;5.4
FAH;2016;16.8
FAH;2017;10.0
FAH;2018;16.9
FAH;2019;4.8
FAH;2020;10.7
