 

stn;time;rhh150yx
AIG;1981;10.1
AIG;1982;13.2
AIG;1983;15.9
AIG;1984;8.8
AIG;1985;12.4
AIG;1986;10.0
AIG;1987;14.1
AIG;1988;17.7
AIG;1989;22.0
AIG;1990;13.7
AIG;1991;18.9
AIG;1992;36.0
AIG;1993;22.4
AIG;1994;11.5
AIG;1995;16.1
AIG;1996;11.8
AIG;1997;11.1
AIG;1998;8.2
AIG;1999;16.5
AIG;2000;9.7
AIG;2001;8.5
AIG;2002;13.4
AIG;2003;12.4
AIG;2004;28.2
AIG;2005;15.8
AIG;2006;28.3
AIG;2007;11.9
AIG;2008;14.0
AIG;2009;13.2
AIG;2010;7.7
AIG;2011;20.3
AIG;2012;9.6
AIG;2013;16.0
AIG;2014;19.1
AIG;2015;25.4
AIG;2016;25.0
AIG;2017;12.1
AIG;2018;16.3
AIG;2019;20.1
AIG;2020;16.3
