 

stn;time;rzz150yx
SCU;1981;11.5
SCU;1982;4.3
SCU;1983;6.5
SCU;1984;4.6
SCU;1985;2.9
SCU;1986;4.1
SCU;1987;3.0
SCU;1988;3.2
SCU;1989;8.2
SCU;1990;5.7
SCU;1991;9.2
SCU;1992;6.9
SCU;1993;6.4
SCU;1994;7.3
SCU;1995;8.8
SCU;1996;10.8
SCU;1997;3.6
SCU;1998;4.5
SCU;1999;4.1
SCU;2000;4.7
SCU;2001;5.2
SCU;2002;8.5
SCU;2003;4.3
SCU;2004;7.5
SCU;2005;5.9
SCU;2006;9.6
SCU;2007;4.0
SCU;2008;4.9
SCU;2009;2.6
SCU;2010;2.7
SCU;2011;3.4
SCU;2012;8.3
SCU;2013;2.6
SCU;2014;4.4
SCU;2015;7.0
SCU;2016;5.9
SCU;2017;4.9
SCU;2018;11.1
SCU;2019;4.1
SCU;2020;4.6
