 

stn;time;rzz150yx
SBE;1982;15.4
SBE;1983;9.6
SBE;1984;8.4
SBE;1985;11.3
SBE;1986;7.0
SBE;1987;7.6
SBE;1988;7.1
SBE;1989;14.8
SBE;1990;8.9
SBE;1991;4.2
SBE;1992;7.1
SBE;1993;6.1
SBE;1994;7.9
SBE;1995;7.9
SBE;1996;9.3
SBE;1997;10.3
SBE;1998;12.1
SBE;1999;12.7
SBE;2000;7.5
SBE;2001;11.1
SBE;2002;6.4
SBE;2003;14.1
SBE;2004;11.3
SBE;2005;9.1
SBE;2006;8.4
SBE;2007;6.2
SBE;2008;8.0
SBE;2009;8.7
SBE;2010;6.2
SBE;2011;5.3
SBE;2012;7.7
SBE;2013;7.8
SBE;2014;13.7
SBE;2015;11.3
SBE;2016;9.0
SBE;2017;9.3
SBE;2018;8.3
SBE;2019;16.9
SBE;2020;7.9
