 

stn;time;tre200y0
LYN;1931;5.5
LYN;1932;6.2
LYN;1933;5.8
LYN;1934;6.9
LYN;1935;5.6
LYN;1936;6.1
LYN;1937;6.4
LYN;1938;6.2
LYN;1939;5.7
LYN;1940;5.3
LYN;1941;5.2
LYN;1942;5.9
LYN;1943;7.0
LYN;1944;5.5
LYN;1945;6.7
LYN;1946;6.3
LYN;1947;7.4
LYN;1948;7.1
LYN;1949;7.3
LYN;1950;6.7
LYN;1951;6.3
LYN;1952;6.1
LYN;1953;6.7
LYN;1954;5.6
LYN;1955;6.1
LYN;1956;4.6
LYN;1957;6.4
LYN;1958;6.4
LYN;1959;7.1
LYN;1960;6.1
LYN;1961;7.1
LYN;1962;5.3
LYN;1963;5.4
LYN;1964;6.7
LYN;1965;5.1
LYN;1966;6.0
LYN;1967;6.5
LYN;1968;6.0
LYN;1969;5.6
LYN;1970;5.7
LYN;1971;6.4
LYN;1972;5.8
LYN;1973;5.8
LYN;1974;5.8
LYN;1975;6.2
