 

stn;time;tre200y0
DLFRB;1949;11.4
DLFRB;1950;10.9
DLFRB;1951;10.8
DLFRB;1952;10.6
DLFRB;1953;10.6
DLFRB;1954;10.0
DLFRB;1955;9.9
DLFRB;1956;8.9
DLFRB;1957;10.6
DLFRB;1958;10.5
DLFRB;1959;11.2
DLFRB;1960;10.7
DLFRB;1961;11.4
DLFRB;1962;9.5
DLFRB;1963;9.2
DLFRB;1964;10.5
DLFRB;1965;9.8
DLFRB;1966;10.9
DLFRB;1967;11.1
DLFRB;1968;10.5
DLFRB;1969;10.3
DLFRB;1970;10.4
DLFRB;1971;10.9
DLFRB;1972;9.9
DLFRB;1973;10.4
DLFRB;1974;11.3
DLFRB;1975;10.9
DLFRB;1976;11.1
DLFRB;1977;11.1
DLFRB;1978;10.1
DLFRB;1979;10.6
DLFRB;1980;10.2
DLFRB;1981;10.7
DLFRB;1982;11.4
DLFRB;1983;11.4
DLFRB;1984;10.4
DLFRB;1985;10.4
DLFRB;1986;10.5
DLFRB;1987;10.4
DLFRB;1988;11.6
DLFRB;1989;11.7
DLFRB;1990;12.2
DLFRB;1991;11.1
DLFRB;1992;12.0
DLFRB;1993;11.4
DLFRB;1994;12.6
DLFRB;1995;11.5
DLFRB;1996;10.2
DLFRB;1997;11.7
DLFRB;1998;12.0
DLFRB;1999;12.0
DLFRB;2000;12.8
DLFRB;2001;11.8
DLFRB;2002;12.3
DLFRB;2003;12.7
DLFRB;2004;11.6
DLFRB;2005;11.7
DLFRB;2006;12.0
DLFRB;2007;11.1
DLFRB;2008;10.8
DLFRB;2009;10.8
DLFRB;2010;9.8
DLFRB;2011;11.5
DLFRB;2012;10.9
DLFRB;2013;10.3
DLFRB;2014;11.9
DLFRB;2015;11.8
DLFRB;2016;10.9
DLFRB;2017;11.2
DLFRB;2018;12.0
DLFRB;2019;11.8
DLFRB;2020;12.6
