 

stn;time;rre150yx
IYSTZ;1941;62.4
IYSTZ;1942;93.0
IYSTZ;1943;53.0
IYSTZ;1944;61.6
IYSTZ;1945;59.8
IYSTZ;1946;39.0
IYSTZ;1947;44.0
IYSTZ;1948;53.4
IYSTZ;1949;40.5
IYSTZ;1950;42.8
IYSTZ;1951;49.6
IYSTZ;1952;46.6
IYSTZ;1953;56.6
IYSTZ;1954;56.8
IYSTZ;1955;40.0
IYSTZ;1956;53.8
IYSTZ;1957;30.8
IYSTZ;1958;31.0
IYSTZ;1959;53.2
IYSTZ;1960;43.5
IYSTZ;1961;33.2
IYSTZ;1962;37.5
IYSTZ;1963;43.8
IYSTZ;1964;33.4
IYSTZ;1965;37.0
IYSTZ;1966;65.8
IYSTZ;1967;35.6
IYSTZ;1968;22.7
IYSTZ;1969;36.0
IYSTZ;1970;39.7
IYSTZ;1971;64.1
IYSTZ;1972;41.4
IYSTZ;1973;46.5
IYSTZ;1974;43.4
IYSTZ;1975;44.8
IYSTZ;1976;39.0
IYSTZ;1977;41.8
IYSTZ;1978;41.0
IYSTZ;1979;70.0
IYSTZ;1980;57.0
IYSTZ;1981;79.0
IYSTZ;1982;33.4
IYSTZ;1983;64.2
IYSTZ;1984;45.8
IYSTZ;1985;73.2
IYSTZ;1986;58.2
IYSTZ;1987;70.8
IYSTZ;1988;38.6
IYSTZ;1989;48.6
IYSTZ;1990;53.0
IYSTZ;1991;36.4
IYSTZ;1992;43.8
IYSTZ;1993;74.4
IYSTZ;1994;36.0
IYSTZ;1995;27.2
IYSTZ;1996;39.4
IYSTZ;1997;47.0
IYSTZ;1998;34.4
IYSTZ;1999;69.8
IYSTZ;2000;45.6
IYSTZ;2001;47.0
IYSTZ;2002;65.8
IYSTZ;2003;36.4
IYSTZ;2004;43.4
IYSTZ;2005;35.0
IYSTZ;2006;52.4
IYSTZ;2007;34.4
IYSTZ;2008;44.6
IYSTZ;2009;35.4
IYSTZ;2010;32.2
IYSTZ;2011;80.4
IYSTZ;2012;81.0
IYSTZ;2013;31.6
IYSTZ;2014;71.0
IYSTZ;2015;32.4
IYSTZ;2016;50.2
IYSTZ;2017;51.6
IYSTZ;2018;97.6
IYSTZ;2019;64.4
