 

stn;time;rzz150yx
NABZUE;1997;5.0
NABZUE;1998;2.1
NABZUE;1999;6.9
NABZUE;2000;7.3
NABZUE;2001;14.5
NABZUE;2002;11.3
NABZUE;2003;14.4
NABZUE;2004;9.4
NABZUE;2005;6.1
NABZUE;2006;8.7
NABZUE;2007;18.7
NABZUE;2008;7.8
NABZUE;2009;6.1
NABZUE;2010;15.1
NABZUE;2011;12.9
NABZUE;2012;11.3
NABZUE;2013;10.6
NABZUE;2014;14.2
NABZUE;2015;10.0
NABZUE;2016;11.3
NABZUE;2017;10.1
NABZUE;2018;10.7
NABZUE;2019;13.1
NABZUE;2020;8.4
