 

stn;time;rhh150yx
BER;1981;40.4
BER;1982;24.9
BER;1983;15.9
BER;1984;13.9
BER;1985;15.0
BER;1986;16.0
BER;1987;29.7
BER;1988;34.0
BER;1989;14.6
BER;1990;21.7
BER;1991;12.6
BER;1992;14.6
BER;1993;12.6
BER;1994;16.4
BER;1995;14.1
BER;1996;21.8
BER;1997;15.2
BER;1998;15.7
BER;1999;20.9
BER;2000;22.3
BER;2001;15.6
BER;2002;26.7
BER;2003;14.6
BER;2004;16.9
BER;2005;23.2
BER;2006;14.6
BER;2007;24.2
BER;2008;11.4
BER;2009;21.5
BER;2010;28.2
BER;2011;25.0
BER;2012;11.3
BER;2013;21.0
BER;2014;22.9
BER;2015;16.3
BER;2016;15.6
BER;2017;13.7
BER;2018;18.8
BER;2019;12.9
BER;2020;22.4
