 

stn;time;rzz150mx
TIMAG;201102;0.6
TIMAG;201103;1.0
TIMAG;201104;1.7
TIMAG;201105;7.8
TIMAG;201106;10.5
TIMAG;201107;10.5
TIMAG;201108;26.0
TIMAG;201109;7.4
TIMAG;201110;1.2
TIMAG;201111;1.6
TIMAG;201112;0.6
TIMAG;201201;1.0
TIMAG;201202;0.1
TIMAG;201203;1.8
TIMAG;201204;2.9
TIMAG;201205;2.3
TIMAG;201206;4.1
TIMAG;201207;17.0
TIMAG;201208;16.4
TIMAG;201209;13.2
TIMAG;201210;2.3
TIMAG;201211;2.0
TIMAG;201212;0.4
TIMAG;201301;0.6
TIMAG;201302;1.2
TIMAG;201303;1.1
TIMAG;201304;2.7
TIMAG;201305;6.0
TIMAG;201306;6.0
TIMAG;201307;11.4
TIMAG;201308;12.0
TIMAG;201309;5.0
TIMAG;201310;4.2
TIMAG;201311;1.8
TIMAG;201312;1.6
TIMAG;201401;1.0
TIMAG;201402;1.2
TIMAG;201403;1.8
TIMAG;201404;8.2
TIMAG;201405;7.0
TIMAG;201406;13.0
TIMAG;201407;7.6
TIMAG;201408;4.4
TIMAG;201409;2.0
TIMAG;201410;10.2
TIMAG;201411;3.6
TIMAG;201412;1.4
TIMAG;201501;1.0
TIMAG;201502;1.4
TIMAG;201503;0.6
TIMAG;201504;1.4
TIMAG;201505;9.2
TIMAG;201506;13.0
TIMAG;201507;9.4
TIMAG;201508;3.6
TIMAG;201509;10.2
TIMAG;201510;3.6
TIMAG;201511;0.2
TIMAG;201512;0.0
TIMAG;201601;0.6
TIMAG;201602;1.0
TIMAG;201603;2.0
TIMAG;201604;6.4
TIMAG;201605;8.2
TIMAG;201606;6.6
TIMAG;201607;13.0
TIMAG;201608;4.4
TIMAG;201609;7.8
TIMAG;201610;2.8
TIMAG;201611;1.4
TIMAG;201612;0.2
TIMAG;201701;0.6
TIMAG;201702;0.6
TIMAG;201703;3.6
TIMAG;201704;2.6
TIMAG;201705;4.2
TIMAG;201706;8.2
TIMAG;201707;8.8
TIMAG;201708;9.0
TIMAG;201709;4.8
TIMAG;201710;0.6
TIMAG;201711;2.4
TIMAG;201712;1.6
TIMAG;201801;2.2
TIMAG;201802;0.2
TIMAG;201803;2.4
TIMAG;201804;3.4
TIMAG;201805;22.0
TIMAG;201806;1.8
TIMAG;201807;9.2
TIMAG;201808;14.2
TIMAG;201809;3.8
TIMAG;201810;4.4
TIMAG;201811;1.6
TIMAG;201812;1.0
TIMAG;201901;0.6
TIMAG;201902;0.6
TIMAG;201903;1.6
TIMAG;201904;3.0
TIMAG;201905;7.4
TIMAG;201906;9.4
TIMAG;201907;4.4
TIMAG;201908;13.2
TIMAG;201909;2.4
TIMAG;201910;5.8
TIMAG;201911;2.0
TIMAG;201912;1.8
