 

stn;time;rhh150yx
ABO;1984;19.8
ABO;1985;18.0
ABO;1986;28.5
ABO;1987;17.3
ABO;1988;11.5
ABO;1989;19.4
ABO;1990;11.8
ABO;1991;17.0
ABO;1992;25.0
ABO;1993;30.6
ABO;1994;17.9
ABO;1995;26.4
ABO;1996;16.6
ABO;1997;23.5
ABO;1998;15.9
ABO;1999;23.3
ABO;2000;8.7
ABO;2001;41.7
ABO;2002;33.3
ABO;2003;25.7
ABO;2004;37.5
ABO;2005;16.1
ABO;2006;15.1
ABO;2007;24.5
ABO;2008;10.6
ABO;2009;12.9
ABO;2010;16.2
ABO;2011;16.8
ABO;2012;17.4
ABO;2013;10.9
ABO;2014;12.8
ABO;2015;27.4
ABO;2016;22.5
ABO;2017;47.9
ABO;2018;20.5
ABO;2019;22.1
ABO;2020;14.9
