 

stn;time;rs1000y0
TICMD;1980;1
TICMD;1981;8
TICMD;1982;2
TICMD;1983;5
TICMD;1984;5
TICMD;1985;2
TICMD;1986;5
TICMD;1987;6
TICMD;1988;4
TICMD;1989;2
TICMD;1990;3
TICMD;1991;4
TICMD;1992;3
TICMD;1993;10
TICMD;1994;7
TICMD;1995;3
TICMD;1996;6
TICMD;1997;3
TICMD;1998;6
TICMD;1999;3
TICMD;2000;6
TICMD;2001;0
TICMD;2002;7
TICMD;2003;0
TICMD;2004;3
TICMD;2005;1
TICMD;2006;3
TICMD;2007;1
TICMD;2008;3
TICMD;2009;5
TICMD;2010;3
TICMD;2011;2
TICMD;2012;3
TICMD;2013;5
TICMD;2014;7
TICMD;2015;2
TICMD;2016;3
