 

stn;time;fklnd3m0
IYSUM;200812;0
IYSUM;200901;0
IYSUM;200902;0
IYSUM;200903;0
IYSUM;200904;0
IYSUM;200905;0
IYSUM;200906;1
IYSUM;200907;0
IYSUM;200908;0
IYSUM;200909;0
IYSUM;200910;0
IYSUM;200911;0
IYSUM;200912;0
IYSUM;201001;0
IYSUM;201002;0
IYSUM;201003;0
IYSUM;201004;0
IYSUM;201005;0
IYSUM;201006;0
IYSUM;201007;0
IYSUM;201008;0
IYSUM;201009;0
IYSUM;201010;1
IYSUM;201011;0
IYSUM;201012;0
IYSUM;201101;0
IYSUM;201102;0
IYSUM;201103;0
IYSUM;201104;0
IYSUM;201105;0
IYSUM;201106;0
IYSUM;201107;0
IYSUM;201108;1
IYSUM;201109;0
IYSUM;201110;0
IYSUM;201111;0
IYSUM;201112;1
IYSUM;201201;1
IYSUM;201202;0
IYSUM;201203;0
IYSUM;201204;0
IYSUM;201205;0
IYSUM;201206;0
IYSUM;201207;0
IYSUM;201208;0
IYSUM;201209;0
IYSUM;201210;0
IYSUM;201211;0
IYSUM;201212;0
IYSUM;201301;0
IYSUM;201302;0
IYSUM;201303;0
IYSUM;201304;0
IYSUM;201305;0
IYSUM;201306;0
IYSUM;201307;0
IYSUM;201308;0
IYSUM;201309;0
IYSUM;201310;1
IYSUM;201311;1
IYSUM;201312;2
IYSUM;201401;0
IYSUM;201402;0
IYSUM;201403;0
IYSUM;201404;0
IYSUM;201405;0
IYSUM;201406;0
IYSUM;201407;0
IYSUM;201408;0
IYSUM;201409;0
IYSUM;201410;0
IYSUM;201411;0
IYSUM;201412;1
IYSUM;201501;3
IYSUM;201502;0
IYSUM;201503;1
IYSUM;201504;1
IYSUM;201505;0
IYSUM;201506;0
IYSUM;201507;0
IYSUM;201508;0
IYSUM;201509;2
IYSUM;201510;0
IYSUM;201511;1
IYSUM;201512;0
IYSUM;201601;0
IYSUM;201602;2
IYSUM;201603;1
IYSUM;201604;0
IYSUM;201605;0
IYSUM;201606;0
IYSUM;201607;0
IYSUM;201608;0
IYSUM;201609;0
IYSUM;201610;0
IYSUM;201611;0
IYSUM;201612;0
IYSUM;201701;0
IYSUM;201702;0
IYSUM;201703;1
IYSUM;201704;0
IYSUM;201705;0
IYSUM;201706;0
IYSUM;201707;0
IYSUM;201708;0
IYSUM;201709;0
IYSUM;201710;0
IYSUM;201711;0
IYSUM;201712;2
IYSUM;201801;1
IYSUM;201802;0
IYSUM;201803;0
IYSUM;201804;0
IYSUM;201805;0
IYSUM;201806;0
IYSUM;201807;0
IYSUM;201808;0
IYSUM;201809;0
IYSUM;201810;1
IYSUM;201811;0
IYSUM;201812;2
IYSUM;201901;0
