 

stn;time;hto000y0
DAV;1931;21
DAV;1932;17
DAV;1933;13
DAV;1934;10
DAV;1935;36
DAV;1936;16
DAV;1937;27
DAV;1938;23
DAV;1939;20
DAV;1940;32
DAV;1941;24
DAV;1942;16
DAV;1943;19
DAV;1944;37
DAV;1945;40
DAV;1946;28
DAV;1947;21
DAV;1948;32
DAV;1949;23
DAV;1950;37
DAV;1951;45
DAV;1952;33
DAV;1953;27
DAV;1954;28
DAV;1955;38
DAV;1956;27
DAV;1957;15
DAV;1958;28
DAV;1959;24
DAV;1960;22
DAV;1961;19
DAV;1962;29
DAV;1963;29
DAV;1964;17
DAV;1965;30
DAV;1966;37
DAV;1967;31
DAV;1968;34
DAV;1969;20
DAV;1970;42
DAV;1971;20
DAV;1972;18
DAV;1973;32
DAV;1974;40
DAV;1975;39
DAV;1976;21
DAV;1977;20
DAV;1978;22
DAV;1979;24
DAV;1980;31
DAV;1981;34
DAV;1982;35
DAV;1983;27
DAV;1984;29
DAV;1985;18
DAV;1986;31
DAV;1987;31
DAV;1988;26
DAV;1989;13
DAV;1990;15
DAV;1991;14
DAV;1992;40
DAV;1993;18
DAV;1994;20
DAV;1995;27
DAV;1996;14
DAV;1997;15
DAV;1998;13
DAV;1999;36
DAV;2000;29
DAV;2001;16
DAV;2002;11
DAV;2003;13
DAV;2004;22
DAV;2005;23
DAV;2006;24
DAV;2007;16
DAV;2008;28
DAV;2009;32
DAV;2010;21
DAV;2011;19
DAV;2012;40
DAV;2013;24
DAV;2014;18
DAV;2015;17
DAV;2016;18
DAV;2017;16
DAV;2018;35
DAV;2019;37
DAV;2020;22
