 

stn;time;hto000y0
DIS;1961;11
DIS;1962;16
DIS;1963;19
DIS;1964;5
DIS;1965;16
DIS;1966;19
DIS;1967;16
DIS;1968;28
DIS;1969;17
DIS;1970;23
DIS;1971;6
DIS;1972;2
DIS;1973;5
DIS;1974;7
DIS;1975;16
DIS;1976;7
DIS;1977;9
DIS;1978;16
DIS;1979;5
DIS;1980;13
DIS;1981;23
DIS;1982;20
DIS;1983;11
DIS;1984;17
DIS;1985;10
DIS;1986;14
DIS;1987;19
DIS;1988;9
DIS;1989;3
DIS;1990;10
DIS;1991;12
DIS;1992;16
DIS;1993;4
DIS;1994;6
DIS;1995;12
DIS;1996;4
DIS;1997;1
DIS;1998;4
DIS;1999;19
DIS;2000;13
DIS;2001;4
DIS;2002;2
DIS;2003;7
DIS;2004;13
DIS;2005;13
DIS;2006;18
