 

stn;time;rhh150yx
KLO;1981;15.8
KLO;1982;18.2
KLO;1983;30.3
KLO;1984;10.0
KLO;1985;12.5
KLO;1986;21.0
KLO;1987;9.1
KLO;1988;22.0
KLO;1989;24.1
KLO;1990;23.4
KLO;1991;8.0
KLO;1992;10.9
KLO;1993;20.3
KLO;1994;8.5
KLO;1995;48.7
KLO;1996;10.4
KLO;1997;18.0
KLO;1998;15.1
KLO;1999;21.4
KLO;2000;10.6
KLO;2001;14.1
KLO;2002;19.6
KLO;2003;14.5
KLO;2004;19.0
KLO;2005;19.5
KLO;2006;15.0
KLO;2007;16.6
KLO;2008;29.3
KLO;2009;12.8
KLO;2010;25.0
KLO;2011;21.0
KLO;2012;20.7
KLO;2013;13.7
KLO;2014;14.7
KLO;2015;24.4
KLO;2016;16.4
KLO;2017;13.2
KLO;2018;24.0
KLO;2019;28.5
KLO;2020;9.9
