 

stn;time;rhh150yx
REH;1981;14.7
REH;1982;14.8
REH;1983;31.4
REH;1984;11.7
REH;1985;10.3
REH;1986;28.0
REH;1987;10.9
REH;1988;47.6
REH;1989;16.9
REH;1990;29.1
REH;1991;12.9
REH;1992;16.5
REH;1993;22.8
REH;1994;24.3
REH;1995;16.2
REH;1996;17.4
REH;1997;24.1
REH;1998;12.4
REH;1999;22.1
REH;2000;22.1
REH;2001;20.9
REH;2002;34.8
REH;2003;18.6
REH;2004;13.2
REH;2005;17.1
REH;2006;16.3
REH;2007;15.4
REH;2008;20.6
REH;2009;14.6
REH;2010;57.8
REH;2011;13.5
REH;2012;14.2
REH;2013;25.7
REH;2014;15.9
REH;2015;17.4
REH;2016;15.7
REH;2017;23.5
REH;2018;30.9
REH;2019;29.3
REH;2020;11.5
