 

stn;time;rzz150yx
VIS;1981;2.2
VIS;1982;4.0
VIS;1983;1.9
VIS;1984;2.3
VIS;1985;4.9
VIS;1986;6.2
VIS;1987;3.4
VIS;1988;5.0
VIS;1989;2.9
VIS;1990;2.8
VIS;1991;3.5
VIS;1992;10.9
VIS;1993;3.1
VIS;1994;7.8
VIS;1995;4.6
VIS;1996;2.6
VIS;1997;1.9
VIS;1998;2.5
VIS;1999;5.5
VIS;2000;3.1
VIS;2001;2.8
VIS;2002;2.0
VIS;2003;3.7
VIS;2004;2.1
VIS;2005;4.1
VIS;2006;2.6
VIS;2007;4.9
VIS;2008;6.1
VIS;2009;6.9
VIS;2010;2.0
VIS;2011;12.7
VIS;2012;2.1
VIS;2013;2.9
VIS;2014;3.4
VIS;2015;11.5
VIS;2016;2.5
VIS;2017;3.8
VIS;2018;3.0
VIS;2019;7.4
VIS;2020;4.8
