 

stn;time;tnd00xy0
DLRFE;1954;21
DLRFE;1955;10
DLRFE;1956;31
DLRFE;1957;9
DLRFE;1958;7
DLRFE;1959;2
DLRFE;1960;12
DLRFE;1961;10
DLRFE;1962;18
DLRFE;1963;44
DLRFE;1964;15
DLRFE;1965;8
DLRFE;1966;12
DLRFE;1967;12
DLRFE;1968;11
DLRFE;1969;25
DLRFE;1970;12
DLRFE;1971;15
DLRFE;1972;10
DLRFE;1973;10
DLRFE;1974;0
DLRFE;1975;4
DLRFE;1976;15
DLRFE;1977;5
DLRFE;1978;14
DLRFE;1979;11
DLRFE;1980;14
DLRFE;1981;12
DLRFE;1982;5
DLRFE;1983;3
DLRFE;1984;0
DLRFE;1985;26
DLRFE;1986;22
DLRFE;1987;22
DLRFE;1988;2
DLRFE;1989;1
DLRFE;1990;3
DLRFE;1991;19
DLRFE;1992;8
DLRFE;1993;10
DLRFE;1994;2
DLRFE;1995;8
DLRFE;1996;9
DLRFE;1997;12
DLRFE;1998;3
DLRFE;1999;7
DLRFE;2000;3
DLRFE;2001;3
DLRFE;2002;7
DLRFE;2003;13
DLRFE;2004;4
DLRFE;2005;12
DLRFE;2006;14
DLRFE;2007;9
DLRFE;2008;3
DLRFE;2009;16
DLRFE;2010;25
DLRFE;2011;3
DLRFE;2012;14
DLRFE;2013;8
DLRFE;2014;1
